[LOG] System::create                           : Header version = 1.10.11. Current version = 1.10.11.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=11011 (100047), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000000025A431B8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] SoundI::release                          : HS_Forest Ambience-001 (000000027CA989D8)
[LOG] SoundI::release                          :     HS_Forest Ambience-001 (000000006E64D2E8)
[LOG] SoundI::release                          :     HS_Forest Ambience-001 (000000027CA99098)
[LOG] SoundI::release                          : HS_Forest Ambience-002 (000000027CA953D8)
[LOG] SoundI::release                          :     HS_Forest Ambience-002 (000000006E64DE48)
[LOG] SoundI::release                          :     HS_Forest Ambience-002 (000000027CA98EE8)
[LOG] SoundI::release                          : hamster_ball_lobby_full (000000027CA97748)
[LOG] SoundI::release                          :     hamster_ball_lobby_full (000000006E64DFE8)
[LOG] SoundI::release                          :     hamster_ball_lobby_full (000000027CA964B8)
[LOG] SoundI::release                          :  (000000006E6DFCE8)
[LOG] SoundI::release                          :     HS_Ball Break_Dyoo-001 (000000006E647648)
[LOG] SoundI::release                          :  (000000027DF73D58)
[LOG] SoundI::release                          :     HS_Ball Break_Dyoo-002 (000000006E6467A8)
[LOG] SoundI::release                          :  (000000006E6DEA38)
[LOG] SoundI::release                          :     HS_Ball Break_Dyoo-003 (000000006E648688)
[LOG] SoundI::release                          :  (000000006E500DD8)
[LOG] SoundI::release                          :     HS_Ball Break_Dyoo-004 (000000027DF01FF8)
[LOG] SoundI::release                          :  (000000027CF5C108)
[LOG] SoundI::release                          :     HS_Ball Break_UpPitch-001 (000000006E4C9A28)
[LOG] SoundI::release                          :  (000000004D9BD068)
[LOG] SoundI::release                          :     HS_Ball Break_UpPitch-002 (000000027D30A978)
[LOG] SoundI::release                          :  (000000027CF5BE28)
[LOG] SoundI::release                          :     HS_Ball Break_UpPitch-003 (000000006E4CE4E8)
[LOG] SoundI::release                          :  (0000000025C30708)
[LOG] SoundI::release                          :     HS_Ball Break_UpPitch-004 (000000027C872298)
[LOG] SoundI::release                          :  (000000027DF74318)
[LOG] SoundI::release                          :     HS_Ball Break_Pop-002 (000000006E649A08)
[LOG] SoundI::release                          :  (000000006E5034A8)
[LOG] SoundI::release                          :     HS_Ball Break_Pop-004 (000000027DF01158)
[LOG] SoundI::release                          :  (000000006E5027B8)
[LOG] SoundI::release                          :     HS_Ball Break_Pop-005 (000000006E4CFA08)
[LOG] SoundI::release                          :  (000000027DF6D2F8)
[LOG] SoundI::release                          :     HS_Ball Break_Pop-006 (000000006E64BC28)
[LOG] SoundI::release                          :  (000000004D9C3678)
[LOG] SoundI::release                          :     HS_Ball Break_Pop-007 (000000004E9290E8)
[LOG] SoundI::release                          :  (000000004D9C2F48)
[LOG] SoundI::release                          :     HS_Ball Break_Pop-008 (000000004E92B7E8)
[LOG] SoundI::release                          :  (000000006E6E3D98)
[LOG] SoundI::release                          :     HS_Attack_SynthScatter-001 (000000006E6496C8)
[LOG] SoundI::release                          :  (000000004D9C3AC8)
[LOG] SoundI::release                          :     HS_Attack_SynthScatter-002 (000000004E92B4A8)
[LOG] SoundI::release                          :  (000000027CF5D248)
[LOG] SoundI::release                          :     HS_Attack_SynthScatter-003 (000000006E4CCE28)
[LOG] SoundI::release                          :  (000000027DF72C18)
[LOG] SoundI::release                          :     HS_Attack_SynthScatter-004 (000000006E647B28)
[LOG] SoundI::release                          :  (000000006E500C68)
